Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
2005,316.8,319.3,320.7,321.5,322.2,322.9,324.1,323.9,324.6,326.2,328.1,328.4,,,,,,,,,,,,,
2006,329.5,332.1,333.8,334.7,335.6,336.0,337.0,337.7,338.3,339.3,340.1,340.1,,,,,,,,,,,,,
2007,343.510,346.457,347.172,348.225,349.087,349.510,351.643,352.961,353.723,355.653,357.041,357.661,,,,,,,,,,,,,
2008,360.459,362.155,363.000,363.184,363.396,363.616,363.963,364.477,365.036,365.746,366.613,367.133,,,,,,,,,,,,,
2009,369.830,372.405,373.189,374.170,375.026,375.093,375.739,376.537,377.727,378.552,379.575,379.516,,,,,,,,,,,,,
2010,382.688,385.907,387.142,387.703,387.762,388.199,387.898,388.467,390.616,391.240,391.660,391.946,,,,,,,,,,,,,
2011,393.858,397.065,397.726,398.813,399.375,399.552,400.305,400.874,401.605,403.430,404.858,405.629,,,,,,,,,,,,,
2012,408.056,410.466,411.498,412.480,413.655,415.345,416.759,417.123,418.039,418.359,418.653,418.654,,,,,,,,,,,,,
2013,420.687,423.221,424.154,423.815,422.834,424.264,424.836,426.866,428.026,428.082,427.740,427.089,,,,,,,,,,,,,
2014,429.621,432.769,433.369,434.054,434.874,435.352,435.924,435.777,436.575,437.027,438.445,439.720,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
